accountType,accountId,guestId,amperityId,mLifeId,mgmRewardsTierCurrent,expects,numberOfAccounts
tcolv_lms,419398207049,169067387,1a000b8f-e817-3f46-a7c8-2e34c76496be,95006484,Sapphire,1,13
patron,50601399,9648168,1b8314a3-514b-3c54-b34c-097990efeff4,50601399,Sapphire,1,1
patron,96435963,146265886,2016186b-7cbb-3f5a-9df6-63a35037bb61,96435963,Sapphire,1,2
patron,59565718,36394605,1b833808-e2c6-3afd-ae57-178fdfe1b634,59565718,Sapphire,1,1
patron,51145016,123546216,1b838ade-7447-33b0-87d5-d362238ecacb,51145016,Sapphire,1,1
patron,81538932,2120604,20165cff-f413-3091-99a0-9d348c887137,81538932,Sapphire,1,1
patron,65535128,3165713,1b87b4ec-3aee-3347-81d0-c75dd84e174b,65535128,Sapphire,1,1
patron,71642844,29215370,1b8810bc-278d-3edc-9a35-a388b2a3640e,71642844,Sapphire,1,2
patron,2584553,25481286,1b8a28dc-3e78-3e65-a6bf-1dd280e944dc,84231797,Sapphire,1,4
patron,84258028,28326698,20170022-a1bf-3162-8f37-7404d6378081,84258028,Sapphire,1,1
customers,00u77lkc5lh9k6mAR1t5,27044550,2017cdaa-8f18-3e90-9eb1-2e872814c267,41801788,Sapphire,1,3
patron,98394112,153375994,192c2af2-a691-37f9-a8b6-b4a529cef642,98394112,Sapphire,1,2
opera,777189228,80154026,192dc779-c517-3a00-a525-6a12dfe3ee9c,65550903,Sapphire,1,3
patron,62165420,118404891,176b3a8b-6666-38e6-96b4-b486dfc52af3,62165420,Sapphire,1,2
patron,45596238,33752222,1b1be691-5445-3f3e-8a42-aae64887cd8b,45596238,null,1,1
patron,77586196,13613107,1087e832-2b1d-33b6-a902-9dbdf358e268,77586196,Pearl,1,1
patron,43588229,21364517,1ed96cb9-4339-34f5-9222-96c2697c70c3,43588229,null,1,1
patron,34811606,29330744,1edacab1-cd60-3e16-a4bb-8e0fb1c22a51,67396495,Sapphire,1,2
opera,778378106,63993728,1937769b-81ae-3351-81a8-5253b79d0a22,66598690,Sapphire,1,2
patron,96326325,145869541,1b23586d-674a-37b4-9764-cffeda7cd552,96326325,Sapphire,1,1
opera,783932698,69516501,1b2613d3-1057-3c22-9405-dca966db02d0,59511811,Sapphire,1,5
patron,72497787,82015426,1ee46328-749c-3aa9-ab37-52b404b2cd22,72497787,Sapphire,1,1
patron,64814457,103930513,1ee73d4c-f5a5-35e4-b423-84654a0dc238,64814457,Sapphire,1,1
patron,46509451,16731526,1b2de370-4f95-328e-8ed0-b809aa21c227,46509451,null,1,1
patron,90507841,67419615,1ee83c42-99e3-3248-92b5-b9b03059bd9f,90507841,Sapphire,1,1
patron,45839136,124414061,1eebe7f0-1939-3e3f-92f0-d6c37c656633,49192549,Sapphire,1,3
customers,00u95u7kfkzvlEoxM1t5,11540826,1786d057-0f8e-3d29-9254-872c2a25aff5,46073802,null,1,3
betmgm,600717430,165958215,19379d19-0f77-3612-857e-bbc914064b10,99866268,Sapphire,1,2
patron,73789843,101977173,178db773-8af4-34a4-b5ef-72ca37e26ea1,73789843,Sapphire,1,1
patron,80381897,56652633,1940da18-0584-3875-9d84-bd18335337a1,80381897,Sapphire,1,3
patron,81210370,58392406,194113e4-2804-3805-b213-2437a798b2ff,81210370,Sapphire,1,1
patron,93799023,136400730,1eec5c28-f3df-3402-815f-59f8b2b0533e,93799023,Sapphire,1,1
patron,100654852,167974311,179685e0-3fa1-3c09-b78c-e9ff57fc7558,100654852,Sapphire,1,2
opera,792175734,112030070,17974571-6a6a-381c-b007-791ea22d510d,71243422,Sapphire,1,3
patron,64725284,34235049,19481a1c-7148-3eb8-97a4-b2b396edf7da,64725284,Sapphire,1,3
patron,55777721,33747512,19487a94-f397-37c1-bd91-892a87a55351,55777721,Sapphire,1,1
opera,803213256,94891952,2023dbda-a9e6-3ec1-bb73-bccd1a01f20c,67978586,Sapphire,1,4
patron,79718428,128315817,15fe6618-3115-3405-aea0-2808dfcb488c,79718428,Sapphire,1,2
archtics,15653759,107453298,1b3951f0-7256-3967-bf6c-85a0d23bcf43,69779242,Sapphire,1,3
