guestId,amperityId,expects,mLifeId,mgmRewardsTierCurrent,numberOfAccounts
13234940,dd4a5a49-cfaf-3e77-a6de-809f51afb593,1,43987739,null,2
121961381,27752238-3ecf-37b7-8a5b-84b9fda2ae02,1,98692525,Sapphire,8
13238731,bb3e39ec-9074-3b8c-99c9-7576b897ab60,1,74804829,Sapphire,3
121979856,2ad53b05-fd90-31f1-8c20-6b4b8e77671d,1,84309656,Sapphire,5
13678815,96c0ee2b-261e-34c1-a11b-8ea9f2a4834d,1,71523697,Sapphire,2
124804006,f16b21bd-fe70-3f06-a144-7af915f49519,1,49737215,null,2
122026453,3fdeb593-350b-36a1-b004-a52080f78d21,1,75810130,Sapphire,6
11291717,1ff95d92-c469-3011-94a4-44abce09e235,1,83137910,Sapphire,2
11318450,725627ee-e7e5-3440-9a8f-2b06ffc8cc74,1,46542420,null,4
3812122,60b8a931-9ada-31ea-b943-9834e082fdd6,1,34397674,null,2
107158089,3b18b9a0-3b3d-3445-ab1c-d8bc01477088,1,73165311,Sapphire,2
13333502,f386240a-883e-3ab5-a114-524f1d71c6a6,1,73487158,Sapphire,5
124977439,c35362d6-362e-3b67-8ce7-88e2aebb2a25,1,50333214,Sapphire,2
11336849,1d0248fa-9105-37f3-b270-9a491aad537d,1,46108140,null,2
11386604,92b5f009-f214-36ef-85b2-ade3cb997dae,1,59026266,Sapphire,1
11753072,4f89fc91-47b4-3c6e-aab7-11f9ffa8c810,1,68894955,Sapphire,1
11375105,56ecf4e2-3484-3a8c-b717-e3f26b60c6f2,1,1235891,Pearl,18
115430881,a6f868ce-175b-3748-ba29-29097bf6eb58,1,51383744,Sapphire,1
115435220,796ca1c7-0608-3878-b3b3-ef4b346751c2,1,82020058,Sapphire,2
2616881,073ded10-9510-336f-ba9e-0848a9b69362,1,60294462,Sapphire,3
11714396,af5b7279-61cd-3fc6-aa2b-13ca36c61982,1,84980274,Sapphire,1
122912792,43a76c41-f029-3d21-a6d3-d50b20ff8783,1,48981808,null,2
2638306,931def86-f1a9-35ab-bee0-a8cd67f63a8e,1,45119177,null,2
109881765,9ce30b3a-106d-30ef-9f95-adea4dd389fe,1,89436560,Sapphire,1
109886655,fe8da652-cc41-39b3-8ccb-478b2e1d04dd,1,69416593,Sapphire,2
11752081,5563d90f-c958-33ad-85cf-780a759079a4,1,59427144,Sapphire,1
11752578,10e69082-c4e2-34a4-b821-f847f66d003a,1,84322842,Sapphire,1
12456091,67b18617-03d5-3a98-a5eb-ffcac34dd310,1,76600918,Sapphire,2
91993942,9a72951f-d30b-344d-af4f-02d94c27a808,1,48956516,Sapphire,2
2890393,ee4d1ee2-b00a-38ed-b819-ea9182231e64,1,81152958,Sapphire,1
123483087,bd7c0a8f-60e9-367f-b2a3-feed0c59662d,1,62385345,Sapphire,1
119284019,ec8beda8-5ca1-3ac6-9c3e-40a604ef4386,1,67492883,Sapphire,3
122945838,571e0e25-2607-3693-b796-ec995a61f7e2,1,49812743,null,2
3292040,f32fef72-385d-33c6-be12-6b54a411a362,1,21462416,Sapphire,2
3293238,fdc7e5dd-2934-39b5-b826-72a1e3afa04e,1,89500715,Sapphire,2
99695599,224ce86f-8d04-3036-8735-ae4360a3f761,1,75263990,Sapphire,2
126410133,2f7a38c3-f9aa-3ace-9ac5-9cbd26627f88,1,74863337,Sapphire,1
